Unnamed: 0,magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
,6.6,8,8,2083,548,0.0,12.6,14.0,30.308,102.888,2013,4,0
,6.6,5,5,672,0,3.183,18.0,13.23,54.7018,163.208,2021,3,1
,6.6,9,8,2840,0,0.174,25.0,8.0,42.8621,13.0961,2016,10,0
,7.7,7,4,931,507,0.0,10.8,18.6,38.058,144.59,2011,3,0
,6.6,8,6,785,0,2.418,22.0,33.0,-6.9291,105.251,2022,1,0
,6.9,5,7,745,0,0.0,0.0,36.4,56.7744,-153.281,2001,1,0
,6.7,0,4,691,50,0.936943,126.0,33.0,52.48,-167.736,2022,1,1
,6.6,0,7,670,111,0.0,16.0,10.0,10.701,-42.594,2013,6,0
,6.7,0,7,691,370,0.0,15.4,16.0,-1.617,134.276,2012,4,0
,6.9,5,4,738,0,1.173,36.0,20.74,55.2657,-157.68,2021,8,1
,6.5,3,4,669,0,1.611,63.0,10.0,49.2586,-129.412,2018,10,0
,7.5,7,8,869,0,1.295,22.0,55.0,-5.4624,151.875,2015,5,1
,6.7,7,6,844,0,1.269,98.0,11.0,-35.4758,-73.163,2019,9,1
,7.3,8,6,1570,0,1.822,15.0,146.82,10.7731,-62.9019,2018,8,1
,6.7,8,8,776,0,2.043,22.0,10.0,51.2407,100.443,2021,1,0
,6.7,0,3,691,0,7.527,17.0,13.0,-43.1219,42.3568,2019,1,1
,7.1,6,6,780,0,0.592,11.0,135.0,-14.8595,167.303,2015,10,1
,6.5,7,7,1018,0,0.0,0.0,11.0,38.67,20.6,2015,11,0
,6.7,5,6,856,312,0.0,34.7,18.0,-36.217,-73.257,2010,3,0
,7.8,0,9,936,368,0.0,0.0,10.0,35.946,90.541,2001,11,0
,6.5,5,6,679,698,0.0,27.0,30.0,11.763,-86.926,2013,6,1
,6.9,6,6,941,645,0.0,30.6,29.0,36.501,21.67,2008,2,0
,6.6,9,8,1043,141,8.454,34.0,12.0,29.7263,102.279,2022,9,0
,7.8,9,9,1163,0,1.44,15.0,20.59,0.3819,-79.9218,2016,4,1
,6.5,8,6,690,0,3.026,22.0,110.0,-4.455,-76.9395,2022,2,1
,7.9,9,7,987,0,3.625,9.0,135.0,-6.2464,155.172,2017,1,1
,7.2,7,7,809,0,1.504,38.0,18.98,-0.5858,128.034,2019,7,1
,7.3,0,7,820,667,0.0,24.5,16.0,50.038,87.813,2003,9,0
,6.6,7,6,808,461,0.0,18.8,20.0,-39.011,178.291,2007,12,0
,7.7,1,8,912,0,8.05,23.0,10.0,-60.2738,-46.4011,2013,11,1
,6.5,5,6,675,382,0.0,12.8,15.0,-9.834,159.465,2007,8,0
,6.5,0,7,650,247,0.0,28.7,33.0,-8.294,120.743,2003,3,0
,6.8,4,3,713,0,0.803,12.0,476.0,-3.6849,152.792,2016,8,1
,7.1,1,4,776,0,9.799,32.0,6.0,-60.3026,-24.9992,2021,8,1
,7.6,9,9,1267,724,0.0,21.1,26.0,34.539,73.588,2005,10,0
,7.3,0,4,820,235,0.0,46.6,10.0,-22.015,169.766,2003,12,0
,6.7,5,5,693,269,0.0,13.8,64.0,-5.157,153.782,2009,6,0
,6.7,5,5,712,667,0.0,10.9,30.0,40.273,142.779,2011,9,0
,6.5,0,5,650,0,3.702,42.0,10.0,-15.8815,-178.6,2015,4,1
,6.9,1,4,732,0,4.024,22.0,11.19,-11.0559,163.696,2015,5,1
,6.6,9,8,1012,0,2.685,13.0,13.0,37.8167,101.299,2022,1,0
,6.9,2,5,733,127,0.371,45.0,10.0,-54.1325,159.027,2022,5,1
,7.5,6,5,874,570,0.0,21.6,22.0,1.065,126.282,2007,1,0
,7.2,5,6,918,611,0.0,20.6,38.0,3.748,96.018,2010,5,0
,7.8,4,3,948,0,7.009,20.0,24.0,-4.9521,94.3299,2016,3,1
,6.9,4,3,749,0,2.267,20.0,624.0,-6.6704,123.493,2020,8,0
,6.8,8,7,1179,175,2.137,92.0,20.0,18.33,-102.913,2022,9,1
,6.5,0,4,650,0,3.997,14.0,187.0,-13.8633,167.249,2014,1,1
,6.7,9,7,1551,572,0.0,11.1,11.0,9.999,123.206,2012,2,0
,6.6,5,6,691,0,1.984,40.0,40.0,35.5142,23.2523,2013,10,0
,7.2,4,7,827,0,1.116,18.0,22.0,38.2107,72.7797,2015,12,0
,7.7,8,8,1421,506,0.0,26.6,80.0,28.033,61.996,2013,4,1
,7.7,5,7,918,288,0.0,29.8,17.0,-0.414,132.885,2009,1,0
,6.5,6,6,674,0,0.388,49.0,16.0,-27.9285,-71.3937,2020,9,1
,6.9,0,5,732,733,0.0,26.7,174.8,55.492,159.999,2003,6,0
,6.5,0,6,650,405,0.0,48.4,33.0,8.416,-82.824,2003,12,0
,7.0,8,5,772,271,0.0,15.1,26.0,-4.963,133.76,2010,9,0
,6.5,5,7,652,0,4.518,44.0,10.0,-16.4796,-177.356,2021,5,1
,7.0,0,5,754,568,0.0,61.2,10.0,37.812,142.619,2003,10,0
,6.6,5,4,1120,0,1.405,55.0,8.45,40.4535,-126.194,2016,12,1
,6.6,0,7,670,545,0.0,17.6,15.0,51.842,95.911,2011,12,0
,7.6,9,8,1799,271,1.153,69.0,26.943,18.3667,-103.252,2022,9,1
,6.8,6,5,713,0,7.495,19.0,169.0,-14.5884,167.377,2017,5,1
,7.6,9,8,1152,0,0.355,29.0,38.0,-43.4064,-73.9413,2016,12,1
,6.5,0,6,650,264,0.0,16.6,10.0,-3.898,152.127,2013,4,1
,6.5,3,6,651,480,0.0,20.7,29.0,50.958,157.408,2013,3,1
,6.8,0,5,711,64,0.0,0.0,33.0,6.631,126.899,2001,1,0
,7.8,8,7,1726,807,0.0,42.7,14.0,52.788,-132.101,2012,10,0
,6.7,9,6,708,0,2.188,43.0,28.0,-0.6831,98.6034,2022,3,0
,6.8,4,5,719,701,0.0,16.3,12.0,0.093,97.05,2006,5,0
,6.9,6,7,814,686,0.0,28.0,107.0,42.77,143.092,2013,2,1
,7.1,0,5,776,550,0.0,18.4,10.0,-11.183,164.882,2013,2,1
,7.1,9,9,1096,693,0.0,19.7,18.0,38.721,43.508,2011,10,0
,6.5,4,4,651,0,5.931,20.0,246.0,-21.6857,-177.064,2021,4,0
,6.7,7,4,703,459,0.0,37.3,10.0,49.277,-128.772,2004,11,0
,6.6,5,4,671,0,7.818,18.0,35.0,-13.336,166.875,2019,1,1
,6.8,5,6,747,653,0.0,17.6,15.0,2.966,-77.963,2007,9,0
,7.6,3,7,893,567,0.0,33.5,17.0,-29.539,-176.34,2011,7,0
,6.7,6,6,830,0,1.395,61.0,10.0,7.5904,-82.8813,2021,7,1
,7.0,4,3,755,142,4.578,26.0,660.0,-26.0442,178.381,2022,11,1
,7.7,0,9,912,472,0.0,0.0,16.0,23.419,70.232,2001,1,0
,6.5,2,5,650,0,4.629,36.0,11.0,-15.4994,-173.029,2015,3,1
,6.9,6,4,734,0,8.363,48.0,16.7,-58.3814,-23.3318,2021,8,1
,6.9,6,6,903,0,3.001,14.0,136.0,23.0944,94.8654,2016,4,0
,7.3,0,4,820,430,0.0,15.0,595.0,-17.239,178.331,2009,11,0
,6.7,6,5,731,695,0.0,20.9,34.0,0.587,98.459,2005,5,0
,7.5,0,7,865,324,0.0,0.0,33.0,6.898,126.579,2001,1,0
,6.5,0,5,650,0,0.778,30.0,10.0,-29.9379,-177.516,2014,6,1
,6.7,6,6,909,0,0.289,43.0,66.0,14.6802,-92.4527,2019,2,1
,7.4,8,7,1455,751,0.0,25.5,24.0,13.988,-91.895,2012,11,0
,7.1,5,5,843,517,0.0,8.7,155.0,-6.533,129.825,2012,12,0
,6.6,0,4,670,478,0.0,29.8,10.0,33.205,137.227,2004,9,0
,7.0,0,6,754,482,0.0,0.0,37.0,12.686,144.98,2001,10,0
,7.4,0,6,842,626,0.0,16.0,173.7,-23.009,-177.232,2013,5,1
,6.9,8,8,1562,383,0.0,13.0,50.0,27.73,88.155,2011,9,0
,7.5,8,8,2026,0,1.649,13.0,20.0,-0.2559,119.846,2018,9,1
,6.9,4,7,734,0,0.444,39.0,29.0,52.376,-169.446,2015,7,1
,6.6,6,7,671,0,4.591,14.0,17.0,56.9401,162.786,2017,3,1
,6.6,6,4,676,225,0.0,78.5,27.8,34.064,141.491,2005,1,0
,6.5,6,7,657,0,0.749,62.0,27.0,-31.4244,-71.6876,2015,9,1
,6.9,0,7,732,305,0.0,15.3,10.0,-7.306,155.741,2007,4,0
,6.5,5,3,739,0,3.276,26.0,402.0,29.9377,138.833,2013,9,1
,6.6,7,7,678,0,2.353,18.0,12.0,-1.2923,120.431,2017,5,0
,6.7,8,7,1515,0,1.794,16.0,55.0,24.8036,93.6505,2016,1,0
,6.8,0,6,711,292,0.0,0.0,24.9,16.985,-100.865,2002,4,0
,6.5,0,6,650,174,0.0,0.0,33.0,-0.578,133.13,2001,9,0
,6.9,6,7,847,474,0.0,46.5,24.0,-14.438,-75.966,2011,10,0
,6.5,3,2,653,236,1.999,31.0,622.73,-9.0618,-71.1647,2022,6,1
,6.6,0,4,670,0,2.679,31.0,10.0,-22.0629,169.733,2018,12,1
,6.6,8,7,733,0,1.778,16.0,10.0,28.2244,84.8216,2015,4,0
,7.7,8,7,995,610,0.0,22.4,40.0,-22.247,-69.89,2007,11,0
,6.8,9,7,825,0,0.546,39.0,18.0,6.6969,125.174,2019,12,1
,6.5,0,5,650,322,0.0,15.0,35.0,-18.308,168.156,2011,8,0
,6.9,5,6,736,531,0.0,20.7,41.0,50.954,157.283,2013,2,1
,6.5,0,4,650,369,0.0,18.7,6.8,36.166,141.562,2011,3,0
,6.6,7,4,688,0,3.259,15.0,12.0,23.5414,126.48,2021,11,1
,6.8,0,7,711,398,0.0,39.1,33.0,-30.608,-71.637,2003,6,0
,7.1,9,8,1686,0,0.984,23.0,48.0,18.5499,-98.4887,2017,9,1
,6.7,0,7,691,462,0.0,0.0,62.0,-27.535,-70.586,2002,4,0
,7.6,0,7,889,0,2.828,13.0,22.56,-11.2701,162.148,2014,4,1
,7.1,6,6,799,0,1.271,11.0,33.0,1.6213,126.416,2019,11,1
,6.7,8,9,1481,43,0.0,124.0,38.182,19.877,-155.935,2006,10,0
,7.4,0,5,842,594,0.0,27.5,10.0,33.184,137.071,2004,9,0
,6.7,7,8,782,493,0.0,23.9,8.0,37.336,136.588,2007,3,0
,7.3,6,3,849,0,3.813,18.0,627.17,4.4782,122.617,2017,1,1
,7.7,7,5,947,357,0.0,36.8,20.0,-9.284,107.419,2006,7,0
,6.5,4,6,838,0,0.0,0.0,10.0,49.6388,-127.732,2014,4,1
,8.16,0,9,1024,0,0.0,0.0,27.0,41.815,143.91,2003,9,0
,6.5,3,6,651,358,0.0,20.7,21.0,2.164,96.786,2005,11,0
,6.9,2,3,733,0,6.012,19.0,414.5,-23.2593,-178.804,2017,2,1
,6.8,8,7,954,0,2.268,15.0,14.0,37.5203,20.5565,2018,10,0
,8.2,9,6,1213,341,0.0,14.9,25.1,0.802,92.463,2012,4,0
,7.3,7,6,1221,934,0.0,15.5,170.0,1.929,-76.362,2012,9,0
,6.6,4,5,703,336,0.0,14.1,53.0,32.821,140.395,2009,8,0
,6.9,7,8,888,654,0.0,17.1,7.8,39.03,140.881,2008,6,0
,7.5,8,5,1623,0,4.581,12.0,19.0,17.4825,-83.52,2018,1,1
,6.8,5,6,762,0,0.0,0.0,72.6,56.594,-156.43,2015,5,1
,7.5,0,6,865,234,0.0,0.0,33.0,-4.102,123.907,2001,10,0
,6.6,0,5,670,491,0.0,11.5,31.0,-6.475,154.607,2013,4,1
,6.5,0,7,650,533,0.0,0.0,10.0,7.929,-82.793,2002,7,0
,7.7,5,8,2015,0,7.241,17.0,15.0,26.951,65.5009,2013,9,0
,7.4,0,6,842,0,2.885,17.0,39.0,-11.4633,162.051,2014,4,1
,7.3,9,5,854,0,1.025,32.0,14.27,-7.6033,122.2,2021,12,1
,7.3,8,7,1563,0,0.677,11.0,15.0,27.8087,86.0655,2015,5,0
,6.7,0,6,691,243,0.0,42.5,17.4,-3.12,127.4,2004,1,0
,6.9,4,5,740,544,0.0,25.9,24.0,13.351,125.63,2008,3,0
,7.5,0,6,865,0,3.82,16.0,43.37,-6.7547,155.024,2014,4,1
,6.6,6,5,719,446,0.0,21.1,27.0,11.245,-86.172,2005,7,0
,7.1,4,6,779,0,1.397,18.0,45.0,1.8929,126.522,2014,11,1
,6.9,7,6,734,0,1.166,25.0,26.0,-14.3235,166.855,2016,4,1
,7.0,7,5,761,192,2.977,45.0,137.0,-21.2077,170.239,2022,9,1
,6.6,0,6,670,0,2.666,22.0,10.0,-11.1284,162.052,2014,4,1
,6.8,0,6,711,444,0.0,33.8,36.0,2.908,95.592,2005,2,0
,7.4,0,6,842,221,0.0,0.0,36.0,-4.68,102.562,2001,2,0
,7.0,0,7,754,690,0.0,19.1,68.0,38.849,141.568,2003,5,0
,6.7,0,7,691,250,0.0,0.0,10.0,-1.511,133.973,2002,10,0
,7.0,9,9,2074,0,0.349,32.0,10.0,32.7906,130.754,2016,4,0
