,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
1419,Volvo,V40 D3 R-Design,1798999,2017,14000,Diesel,Automatic,Delhi,Blue,First,Individual,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370.0,1783.0,1458.0,5.0,60.0
502,Audi,Q3 35 TDI Premium,1775000,2015,80000,Diesel,Automatic,Chennai,Silver,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
1894,Maruti Suzuki,Celerio ZXi AMT [2017-2019],575000,2018,27239,Petrol,Automatic,Bangalore,Orange,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
1826,Mahindra,Quanto C8,240000,2013,51500,Diesel,Manual,Kolkata,Maroon,Second,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985.0,1850.0,1880.0,7.0,55.0
477,Mercedes-Benz,S-Class 300,1500000,2012,158000,Petrol,Automatic,Chennai,Brown,First,Individual,,,,,,,,,
335,Ford,Fiesta Style Diesel [2011-2014],295000,2013,74000,Diesel,Manual,Hyderabad,Maroon,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,4291.0,1722.0,1496.0,5.0,43.0
547,Honda,City 1.5 S MT,450000,2013,61000,Petrol,Manual,Delhi,Maroon,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440.0,1695.0,1485.0,5.0,42.0
1251,Maruti Suzuki,Swift DZire VXI,500000,2016,26000,Petrol,Manual,Delhi,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
281,Isuzu,MU-X 4x2,2100000,2018,75592,Diesel,Automatic,Hyderabad,White,First,Individual,2999 cc,174 bhp @ 3600 rpm,380 Nm @ 1800 rpm,RWD,4825.0,1860.0,1840.0,7.0,65.0
1924,Maruti Suzuki,Ciaz Delta Hybrid 1.5 [2018-2020],750000,2019,6200,Petrol,Manual,Mumbai,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
268,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],569000,2018,57847,Petrol,Manual,Bangalore,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
1008,Mercedes-Benz,GLC 200 Progressive,6600000,2021,16785,Petrol,Automatic,Bangalore,White,First,Individual,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD,4658.0,1890.0,1644.0,5.0,66.0
1028,Audi,Q5 2.0 TDI quattro Premium,1700000,2014,78000,Diesel,Automatic,Ahmedabad,Brown,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4629.0,1898.0,1653.0,5.0,75.0
469,Hyundai,Eon 1.0 Kappa Magna AirBag,360000,2015,16205,Petrol,Manual,Pune,White,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515.0,1550.0,1510.0,5.0,32.0
180,BMW,5-Series 520d Sedan,1250000,2012,78000,Diesel,Automatic,Mohali,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,
811,Mercedes-Benz,E-Class E 220 d Avantgarde,6500000,2019,5750,Diesel,Automatic,Bangalore,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
1708,Maruti Suzuki,Celerio X Zxi AMT [2017-2019],484999,2018,44000,Petrol,Automatic,Delhi,Grey,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715.0,1635.0,1565.0,5.0,35.0
1931,Hyundai,Eon Era +,225000,2012,56000,Petrol,Manual,Meerut,Grey,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
24,Maruti Suzuki,Alto LXi CNG,370000,2019,47377,CNG,Manual,Delhi,Grey,First,Individual,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,4.0,60.0
504,Ford,Endeavour Titanium 3.2 4x4 AT,3450000,2019,41526,Diesel,Automatic,Coimbatore,Silver,First,Individual,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,4892.0,1860.0,1837.0,7.0,80.0
1066,Maruti Suzuki,Alto 800 Lxi,265000,2017,52100,Petrol,Manual,Lucknow,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
1852,Mahindra,TUV300 T6 Plus AMT,650000,2015,49776,Diesel,Automatic,Mumbai,White,First,Individual,1493 cc,84 bhp @ 3750 rpm,230 Nm @ 1500 rpm,RWD,3995.0,1835.0,1839.0,7.0,60.0
1129,Volkswagen,Polo Comfortline 1.2L (P),565000,2014,72782,Petrol,Manual,Bangalore,Grey,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
1365,Ford,Figo Duratorq Diesel ZXI 1.4,225000,2013,87000,Diesel,Manual,Mohali,Grey,First,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
1736,Hyundai,Venue S 1.0 AT Petrol [2019-2020],750000,2019,43600,Petrol,Automatic,Allahabad,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
1684,Maruti Suzuki,Swift ZXi,575000,2015,50599,Petrol,Manual,Chennai,White,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1512,Hyundai,i10 Magna 1.2 Kappa2,250000,2011,53000,Petrol,Manual,Kanpur,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
1960,Honda,Brio S MT,341000,2016,49000,Petrol,Manual,Mumbai,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
1785,Maruti Suzuki,Celerio VXi AMT,375000,2014,35000,Petrol,Automatic,Delhi,Red,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
159,Hyundai,Xcent S 1.2 (O),490000,2015,23103,Petrol,Manual,Udupi,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
1733,Honda,City 1.5 S MT,250000,2009,72256,Petrol,Manual,Navi Mumbai,Black,First,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
1017,MG,Hector Plus Sharp 1.5 DCT Petrol,1875000,2021,10000,Petrol,Automatic,Faridabad,Red,First,Individual,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,FWD,4720.0,1835.0,1760.0,6.0,60.0
889,Maruti Suzuki,Ciaz ZDi SHVS,625000,2015,61000,Diesel,Manual,Allahabad,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
1215,Toyota,Yaris J CVT [2018-2020],875000,2018,23148,Petrol,Automatic,Bangalore,Red,First,Individual,1496 cc,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,4425.0,1730.0,1495.0,5.0,42.0
1899,Maruti Suzuki,Swift DZire LXI,610000,2017,38674,Petrol,Manual,Navi Mumbai,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
255,Honda,City V,1060000,2019,12382,Petrol,Manual,Pune,Maroon,First,Corporate,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1346,Maruti Suzuki,Swift VXi,355000,2014,68005,Petrol,Manual,Ranchi,White,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1990,Maruti Suzuki,Wagon R LXI CNG,400000,2017,43000,CNG,Manual,Agra,Grey,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
315,Mercedes-Benz,S-Class S 350D [2018-2020],7900000,2017,11850,Diesel,Automatic,Vadodara,White,First,Individual,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0
113,Tata,Zest XM 75 PS Diesel,425000,2017,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995.0,1706.0,1570.0,5.0,44.0
1492,Honda,City 1.5 V MT,375000,2012,80350,Petrol,Manual,Mumbai,Silver,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440.0,1695.0,1485.0,5.0,42.0
249,Mahindra,XUV500 W8,549000,2012,143000,Diesel,Manual,Mohali,Silver,First,Individual,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
11,Renault,Kwid 1.0 RXT [2016-2019],459999,2018,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
490,Maruti Suzuki,Wagon R LXI CNG,400000,2016,67850,CNG,Manual,Mumbai,Red,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
1992,Toyota,Innova 2.0 G1 BS-IV,555000,2010,261236,Petrol,Manual,Mumbai,Silver,First,Individual,1998 cc,136@5600,182@4000,,4555.0,1770.0,1755.0,8.0,55.0
1637,Mercedes-Benz,GLE 350 d,5000000,2016,61000,Diesel,Automatic,Mumbai,Grey,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
1676,Hyundai,i10 Magna,175000,2009,65000,Petrol,Manual,Jamshedpur,Blue,Second,Individual,1086 cc,67@5500,99@2800,FWD,3565.0,1595.0,1550.0,5.0,35.0
185,Mercedes-Benz,C-Class C 250 d,2775000,2016,48000,Diesel,Automatic,Delhi,Black,First,Individual,2143 cc,204 bhp @ 3800 rpm,500 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
1572,Hyundai,Xcent S 1.2,399000,2014,74000,Petrol,Manual,Ahmedabad,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
753,BMW,X1 sDrive20d xLine,3675000,2020,37180,Diesel,Automatic,Bangalore,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
1508,Toyota,Fortuner 3.0 4x4 MT,1975000,2014,123000,Diesel,Manual,Bangalore,White,Second,Individual,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,AWD,4705.0,1840.0,1850.0,7.0,80.0
482,Honda,City VX CVT Petrol,1390000,2022,32000,Petrol,Automatic,Delhi,Brown,First,Individual,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549.0,1748.0,1489.0,5.0,40.0
1864,Maruti Suzuki,Alto 800 Lxi,285000,2016,17000,Petrol,Manual,Lucknow,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
1020,Land Rover,Discovery HSE,2785000,2016,120000,Diesel,Automatic,Delhi,Blue,First,Individual,2993 cc,245 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,4838.0,1915.0,1837.0,7.0,82.0
444,Mahindra,XUV500 W8 1.99 [2016-2017],690000,2015,157662,Diesel,Manual,Jaipur,Silver,Second,Individual,1997 cc,138 bhp @ 3750 rpm,320 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
46,Maruti Suzuki,Baleno Delta 1.2,605000,2019,27469,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
907,Honda,Amaze 1.2 S i-VTEC,475000,2014,65000,Petrol,Manual,Coimbatore,Silver,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
116,Maruti Suzuki,Ertiga VDi,425000,2012,78000,Diesel,Manual,Jalandhar,White,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265.0,1695.0,1685.0,7.0,45.0
865,Mercedes-Benz,C-Class C 220d Progressive [2018-2019],3950000,2019,33000,Diesel,Automatic,Mumbai,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
2054,Mahindra,XUV500 W8 [2015-2017],850000,2016,90300,Diesel,Manual,Surat,White,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
1604,Mercedes-Benz,GLC 220d 4MATIC Progressive,7000000,2021,19000,Diesel,Automatic,Mumbai,Black,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD,4658.0,1890.0,1644.0,5.0,66.0
1214,Maruti Suzuki,Swift VXi [2014-2017],695000,2019,46027,Petrol,Manual,Hyderabad,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1374,Honda,Jazz V Petrol,500000,2016,54440,Petrol,Manual,Mumbai,Silver,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
2001,Jeep,Compass Limited 2.0 Diesel [2017-2020],1250000,2018,90000,Diesel,Manual,Ludhiana,Silver,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
1040,Skoda,Rapid Style 1.6 MPI AT,900000,2018,55000,Petrol,Automatic,Pune,Grey,Second,Individual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,4413.0,1699.0,1466.0,5.0,55.0
346,Toyota,Corolla Altis 1.8 G,725000,2014,104814,Petrol,Manual,Mumbai,Grey,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540.0,1760.0,1480.0,5.0,55.0
101,Hyundai,Elite i20 Sportz 1.2 (O),611000,2017,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
899,Toyota,Corolla Altis 1.8 VL AT,450000,2011,95000,Petrol,Automatic,Mumbai,White,First,Individual,1794 cc,132@6000,170@4200,FWD,4540.0,1760.0,1480.0,5.0,55.0
1784,Mahindra,Thar LX 4-STR Hard Top Petrol AT,1710000,2021,4400,Petrol,Automatic,Mumbai,Black,First,Individual,1997 cc,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
1032,Mahindra,Thar CRDe 4x4 Non AC,525000,2015,85000,Diesel,Manual,Ambala Cantt,Green,Second,Individual,2498 cc,105@3800,247@1800,AWD,3920.0,1710.0,1930.0,7.0,60.0
765,Honda,City VX CVT,825000,2016,45000,Petrol,Automatic,Mumbai,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
351,Mahindra,Thar AX 4-STR Convertible Petrol MT,1700000,2021,3813,Petrol,Manual,Chennai,Red,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1855.0,4.0,57.0
613,Mercedes-Benz,GLE 250 d,5400000,2016,16000,Diesel,Automatic,Karnal,White,First,Individual,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
1437,Hyundai,i10 Asta 1.2 AT Kappa2 with Sunroof,380000,2013,57000,Petrol,Automatic,Kanpur,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
1971,Land Rover,Range Rover Sport SDV6 SE,6000000,2014,82000,Diesel,Automatic,Ludhiana,White,First,Individual,2993 cc,289 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,4879.0,2073.0,1780.0,5.0,77.0
489,Mercedes-Benz,GLE 43 4MATIC [2017-2019],8500000,2018,25275,Petrol,Automatic,Hyderabad,Black,First,Individual,2996 cc,362 bhp @ 5500 rpm,520 Nm @ 2000 rpm,AWD,4891.0,2003.0,1719.0,5.0,93.0
420,Honda,City ZX CVT Petrol,1450000,2021,13000,Petrol,Automatic,Delhi,Brown,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1865,BMW,X5 xDrive 30d,7998999,2020,20000,Diesel,Automatic,Kolkata,Grey,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1497,Hyundai,Elite i20 Sportz 1.2 MT,700000,2020,25000,Petrol,Manual,Patna,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4200 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
990,Land Rover,Discovery Sport SE R-Dynamic,5995000,2020,54200,Diesel,Automatic,Indore,White,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4600.0,2069.0,1724.0,7.0,70.0
308,Hyundai,Tucson GL 2WD AT Petrol,1595000,2017,86000,Petrol,Automatic,Bangalore,Blue,First,Individual,1999 cc,153 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD,4475.0,1850.0,1660.0,5.0,62.0
812,Volkswagen,Polo Highline1.2L (P),490000,2015,50000,Petrol,Manual,Delhi,White,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0
1146,BMW,7-Series 730Ld,3200000,2014,133273,Diesel,Automatic,Pune,Blue,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,RWD,5219.0,1902.0,1481.0,4.0,
74,Ford,Figo Duratorq Diesel Titanium 1.4,299000,2013,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795.0,1680.0,1427.0,5.0,45.0
186,Maruti Suzuki,S-Presso VXi,430000,2020,5790,Petrol,Manual,Hyderabad,Silver,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565.0,1520.0,1564.0,5.0,27.0
1352,Volkswagen,Vento Comfortline Diesel,434999,2014,79081,Diesel,Manual,Delhi,Grey,First,Individual,1598 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,4384.0,1699.0,1466.0,5.0,55.0
1125,Renault,Duster 110 PS RXZ 4X2 MT Diesel,450000,2016,2000000,Diesel,Manual,Ranchi,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
301,Honda,WR-V VX MT Petrol,900000,2019,17000,Petrol,Manual,Ahmedabad,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
58,Mahindra,Scorpio SLE BS-IV,400000,2014,78000,Diesel,Manual,Gurgaon,White,Second,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
677,Land Rover,Evoque SE,3450000,2016,29000,Diesel,Automatic,Delhi,Blue,First,Individual,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4465.0,1900.0,1635.0,5.0,57.0
1687,Land Rover,Discovery Sport HSE Luxury 7-Seater,4575000,2019,50000,Diesel,Automatic,Karnal,Blue,First,Individual,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4600.0,2069.0,1724.0,7.0,65.0
272,Renault,Kwid 1.0 RXT [2016-2019],299000,2016,26000,Petrol,Manual,Mumbai,Brown,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
364,Toyota,Innova 2.7 VX 7 STR [2016-2020],1964999,2020,26000,Petrol,Manual,Delhi,Silver,First,Individual,2694 cc,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD,4735.0,1830.0,1795.0,7.0,65.0
1622,Renault,Duster 85 PS RxL Diesel,525000,2014,48000,Diesel,Manual,Patna,Silver,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
478,Audi,A6 2.0 TDI Premium,1175000,2012,77000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915.0,1874.0,1455.0,5.0,65.0
1448,Mahindra,Thar LX 4-STR Hard Top Diesel AT,1950000,2022,4500,Diesel,Automatic,Ludhiana,Black,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
1378,Kia,Carnival Limousine Plus 7 STR,2950000,2020,72000,Diesel,Automatic,Chandigarh,White,First,Individual,2199 cc,197 bhp @ 3800 rpm,440 Nm @ 1750 rpm,FWD,5115.0,1985.0,1755.0,7.0,60.0
2020,Hyundai,Creta SX (O) 1.5 Diesel Automatic,1989999,2022,5800,Diesel,Automatic,Surat,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
956,Maruti Suzuki,Eeco 7 STR [2019-2020],509999,2019,40000,Petrol,Manual,Thane,Silver,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,7.0,40.0
1767,Hyundai,Verna EX 1.6 CRDi [2017-2018],810000,2018,73000,Diesel,Manual,Pune,Red,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4440.0,1729.0,1475.0,5.0,45.0
1876,Maruti Suzuki,Alto LXi,280000,2011,69276,Petrol,Manual,Hyderabad,Gold,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620.0,1475.0,1460.0,5.0,35.0
710,Hyundai,Creta E Plus 1.4 CRDI,990000,2019,23000,Diesel,Manual,Ahmedabad,Orange,First,Individual,1396 cc,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
29,Honda,WR-V VX MT Petrol,819999,2018,27963,Petrol,Manual,Delhi,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
